,Branch length stretch,date,numdate
A_Bangladesh_0002_2020_EPIISL882852_2020-09-03,1.1473200655165243,2020-09-03,2020.7195925894277
A_Bangladesh_0004_2020_EPIISL882853_2020-09-06,1.000000429657844e-06,2020-09-06,2020.7276999949534
A_Bangladesh_1001_2020_EPIISL717679_2020-09-05,1.000000429657844e-06,2020-09-05,2020.72499752657
A_Bangladesh_1002_2020_EPIISL717684_2020-10-05,1.0000004296578269e-06,2020-10-05,2020.8060715780705
A_Bangladesh_1002_2020_EPIISL965039_2020-10-05,1.0000004296578269e-06,2020-10-05,2020.8060715780705
A_Bangladesh_1004005_2020_EPIISL1015485_2020-10-06,2.0,2020-10-06,2020.8087740460783
A_Bangladesh_1005_2020_EPIISL882815_2020-09-28,0.9430834612744144,2020-09-28,2020.7871542990113
A_Bangladesh_1010007_2020_EPIISL717673_2020-10-07,0.9948603234281966,2020-10-07,2020.8114765144617
A_Bangladesh_1010009_2020_EPIISL717683_2020-10-10,1.000000429657844e-06,2020-10-10,2020.8195839199875
A_Bangladesh_1010009_2020_EPIISL965040_2020-10-10,1.000000429657844e-06,2020-10-10,2020.8195839199875
A_Bangladesh_1011_2020_EPIISL882809_2020-10-05,1.000000429657844e-06,2020-10-05,2020.8060715780705
A_Bangladesh_1014_2020_EPIISL882870_2020-10-28,2.0,2020-10-28,2020.8682283505118
A_Bangladesh_1200913016_2020_EPIISL882866_2020-09-15,1.000000429657844e-06,2020-09-15,2020.7520222104035
A_Bangladesh_1201012002_2020_EPIISL766852_2020-10-03,1.000000429657844e-06,2020-10-03,2020.800666641304
A_Bangladesh_1201012002_2020_EPIISL882878_2020-10-03,1.000000429657844e-06,2020-10-03,2020.800666641304
A_Bangladesh_1201012021_2020_EPIISL882859_2020-10-27,1.000000429657844e-06,2020-10-27,2020.8655258825045
A_Bangladesh_1478_2020_EPIISL882824_2020-10-21,1.000000429657844e-06,2020-10-21,2020.8493110722043
A_Bangladesh_18-1005_2019_EPIISL491803_2019-10-06,1.0000004296580274e-06,2019-10-06,2019.8189950010512
